baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000000303.12	2782.22631602881	5.82552895651391	0.143003698854758	40.7369110251519	0	0
ENSMUSG00000025608.9	4401.66107588957	8.31228283134247	0.197510660225609	42.0852364214047	0	0
ENSMUSG00000045545.8	4088.29979250429	9.12444172926141	0.238753632689434	38.2169754926003	0	0
ENSMUSG00000047586.4	2408.96236911915	7.42299773148594	0.196906500291137	37.6980837123743	0	0
ENSMUSG00000054889.10	6835.30817812126	4.65300682716011	0.114964037035451	40.4735858895185	0	0
ENSMUSG00000097767.8	4106.77407374806	6.59502535938634	0.151463270946644	43.5420766907218	0	0
ENSMUSG00000020758.15	6336.69419572802	4.25982740190145	0.114956165275878	37.0561021383977	1.43221719952971e-300	4.23261102952446e-297
ENSMUSG00000030693.10	1240.47206579175	5.46811533756264	0.148332222285874	36.8639750237423	1.74662384216805e-297	4.51655092786631e-294
ENSMUSG00000053797.10	2357.50857283841	7.97909227595669	0.217491978191235	36.6868348079528	1.18428865051975e-294	2.72215325703357e-291
ENSMUSG00000024406.16	2300.56855437857	4.48196076083336	0.123016819854909	36.433723178014	1.24551185409357e-290	2.57659037256336e-287
ENSMUSG00000037820.15	3906.53527277478	4.02391077511828	0.110663737438541	36.3616019868572	1.72285493393702e-289	3.24006363803228e-286
ENSMUSG00000047281.3	1063.70823537809	5.25836537736032	0.149598417265545	35.1498730633389	1.16761921370073e-270	2.01287822281891e-267
ENSMUSG00000056602.12	1176.49468242755	5.38984168472657	0.153514184842878	35.1097306756577	4.78890500311783e-270	7.62062136919219e-267
ENSMUSG00000027375.14	3835.54485991725	5.76194307463965	0.16459137241157	35.007564431941	1.72607727159001e-268	2.55052575124162e-265
ENSMUSG00000037185.9	1422.68171410608	4.99084036960207	0.143869964796525	34.6899394648536	1.1172374614229e-263	1.54081942429704e-260
ENSMUSG00000026413.12	1670.21813735503	5.50793992688117	0.162352327556813	33.9258451650701	2.77076352500368e-252	3.58242406510945e-249
ENSMUSG00000031995.9	1272.07779943817	6.00951005508925	0.180166626943155	33.3552898061711	6.10543361754444e-244	7.42959442624363e-241
ENSMUSG00000019102.10	4252.13080423328	3.75659110377204	0.117383742963858	32.0026522320785	1.00160300752312e-224	1.15112007870171e-221
ENSMUSG00000034282.3	1267.19137061125	6.84030045177368	0.216712783568009	31.5638991809962	1.1558984283398e-218	1.2585300414245e-215
ENSMUSG00000074796.10	890.962147770756	4.2756908466366	0.135822428531973	31.480005863907	1.63138616822121e-217	1.68742428309961e-214
ENSMUSG00000028435.8	1000.60191451766	6.25344078673826	0.200049071466456	31.2595341777771	1.65671188957876e-214	1.6320189933198e-211
ENSMUSG00000042793.13	993.596483876577	4.1910282517093	0.135039566620037	31.0355576266152	1.78706674449905e-211	1.68041135197509e-208
ENSMUSG00000049382.10	5899.38440276072	10.8668288504527	0.354158396478217	30.683527366606	9.44147079713156e-207	8.49198723392437e-204
ENSMUSG00000063450.14	2006.16488735426	3.45582242883361	0.113616633719731	30.41651838901	3.3221868583077e-203	2.86358664740881e-200
ENSMUSG00000022871.13	1099.8210296869	6.6565098115383	0.221667487261423	30.0292564046073	4.07413699542135e-198	3.37126688097126e-195
ENSMUSG00000020788.15	2105.01080621481	8.81864106932234	0.298918944272554	29.5017804601957	2.73147008687696e-191	2.17330468027783e-188
